FIELD;RA;DEC;BEGIN OBS;END OBS;MED OBS;I;Q;error Q;U;error U ;BAND;CONDITION;CLOUDS;CLEAR;SUN;SEEING
F10;71.42771;17.19769;2021-01-27T02:29:10;2021-01-27T02:35:08;2021-01-27T02:32:09;19357.35251;0.083346;0.002791;-0.069988;0.004371;R;ok;0;1;0;1.603
F11;82.95929;12.62319;2021-01-27T02:49:32;2021-01-27T02:56:42;2021-01-27T02:53:07;11210.5674;0.034603;0.002934;-0.065743;0.003695;R;clouds;1;0;0;0.813
F17;133.1520;24.72839;2021-01-27T03:36:57;2021-01-27T03:41:22;2021-01-27T03:39:10;28517.26367;0.045943;0.002744;0.013380;0.003995;R;ok;0;1;0;0.820
9090-7;138.0010;-7.84645;2021-01-27T04:20:59;2021-01-27T04:25:57;2021-01-27T04:23:28;12668.99876;-0.020421;0.001679;0.171256;0.003153;R;ok;0;1;0;0.855
F64;156.5880;-0.12736;2021-01-27T05:07:45;2021-01-27T05:13:05;2021-01-27T05:10:25;13228.95137;0.115313;0.001714;0.224762;0.004693;R;ok;0;1;0;0.725
F23;173.4130;13.44331;2021-01-27T06:00:30;2021-01-27T06:06:43;2021-01-27T06:03:37;16459.12801;0.262048;0.002190;0.235072;0.005891;R;ok;0;1;0;0.743
CT2;194.38792;-2.38783;2021-01-27T06:58:33;2021-01-27T07:05:41;2021-01-27T07:02:07;13387.96687;0.349048;0.003856;0.409608;0.006721;R;ok;0;1;0;1.745
F74;235.7310;-34.1110;2021-01-27T07:52:34;2021-01-27T07:58:14;2021-01-27T07:55:24;13171.15791;0.217974;0.002499;0.030014;0.005029;R;ok;0;1;0;0.618
F65;166.3910;-77.77269;2021-01-27T08:33:59;2021-01-27T08:37:44;2021-01-27T08:35:52;3796.848702;0.151747;0.002688;0.459012;0.004739;R;ok;0;1;0;0.685
1101-264;166.20418;-27.00247;2021-01-27T09:11:23;2021-01-27T09:15:26;2021-01-27T09:13:25;1481.605924;-0.001785;0.001755;0.235585;0.003446;R;sun;0;0;1;0.818
F60;89.47221;-13.62131;2021-01-26T01:09:02;2021-01-26T01:13:31;2021-01-26T01:11:17;7053.652275;-0.088142;0.002561;-0.005842;0.003703;I;clouds;1;0;0;1.045
F9;66.66121;24.65011;2021-01-26T02:10:28;2021-01-26T02:16:25;2021-01-26T02:13:27;29388.34457;0.0458670;0.003079;-0.017683;0.003828;I;clouds;1;0;0;1.970
F58;75.41671;-48.90769;2021-01-27T00:35:05;2021-01-27T00:38:44;2021-01-27T00:36:55;4451.489996;-0.076955;0.003179;-0.32354;0.003748;I;sun;0;0;1;0.948
F55;54.02579;-20.96981;2021-01-27T01:51:56;2021-01-27T01:57:32;2021-01-27T01:54:44;7466.643281;0.030217;0.002820;-0.258403;0.003760;I;ok;0;1;0;0.793
