,FIELD,RA,DEC,OBS TIME MED,I,Q,error Q,U,U error,SEEING,BANDA,CONDITION,THETA MOON,PHI MOON,ALBEDO,WAVELENGTH,THETA FIELD,PHI FIELD,GAMMA,AOP,AOP error,POL OBS,POL OBS error,THETA SUN,PHI SUN
21,9090-7,138.001,-7.84645,2021-01-27T04:14:54,17264.17996,-0.038416,0.00123,0.185159,0.002654,0.908,V,ok,0.8919283,6.066658,0.13334809,555.0,0.42158931,0.86176234,43.65395,-39.139404,0.1999009043814568,0.1891022,0.0026106439,2.3720145,3.3772547
22,F64,156.588,-0.12736,2021-01-27T05:01:14,18156.98078,0.104008,0.002586,0.262138,0.005155,0.685,V,ok,0.94855237,5.8534775,0.1340768,555.0,0.60265285,0.85223323,52.31051,34.1792,0.3113155233724137,0.2820177,0.0048856097,2.3900738,3.099817
23,F23,173.413,13.44331,2021-01-27T05:53:36,20563.97911,0.262734,0.004004,0.289032,0.007697,0.683,V,ok,1.0511004,5.646684,0.13488927,555.0,0.82585996,0.69562757,60.822693,23.864368,0.43750348203973627,0.39060038,0.0063002207,2.3496895,2.7937684
24,CT2,194.38792,-2.38783,2021-01-27T06:50:27,17442.61239,0.333056,0.00691,0.489692,0.009197,1.513,V,ok,1.196474,5.465247,0.1357574,555.0,0.7137543,1.0973365,85.95079,27.889532,0.3728190604480577,0.59222,0.008540152,2.2433152,2.5123417
25,F74,235.731,-34.111,2021-01-27T07:46:16,16609.80486,0.216699,0.001576,0.05843,0.006439,0.653,V,ok,1.3626249,5.323874,0.13659516,555.0,0.9588122,2.0188227,132.17772,7.545086,0.7952762253329891,0.22443824,0.0022639546,2.094285,2.298127
26,F65,166.391,-77.77269,2021-01-27T08:29:18,4921.48314,0.130436,0.006359,0.538868,0.005354,0.69,V,ok,1.5014536,5.234109,0.1372308,555.0,0.94008875,3.218582,107.80335,38.19648,0.32591754998104105,0.5544297,0.0054145036,1.959655,2.167981
27,1101-264,166.20418,-27.00247,2021-01-27T09:06:40,843.577757,-0.001768,0.002094,0.230696,0.003009,0.765,V,sun,1.6273768,5.1666427,0.13777532,555.0,0.42023844,4.5078955,74.30797,-44.780453,0.2600339637372739,0.23070277,0.0030089545,1.8333385,2.073622
28,F60,89.47221,-13.62131,2021-01-26T01:04:19,11955.31277,-0.112093,0.002822,-0.014167,0.002378,1.078,R,clouds,0.95251966,0.442282,0.11731282,655.0,0.35970464,1.0668038,39.174206,3.6016002,0.604887019980874,0.11298471,0.0028155611,1.9068477,4.149462
29,F9,66.66121,24.65011,2021-01-26T02:04:24,48165.25001,0.056113,0.002594,-0.018139,0.003986,1.055,R,clouds,0.88337284,0.16309658,0.118578345,655.0,0.92061,5.8962173,24.692863,-8.956932,1.882806248925912,0.05897196,0.0027559754,2.0968394,3.973169
30,F58,75.41671,-48.90769,2021-01-27T00:40:38,4963.035108,-0.234181,0.007196,-0.439755,0.002185,0.893,R,sun,1.1221309,0.73041767,0.14602104,655.0,0.44202217,2.8908727,79.76159,30.981768,0.36995870247659524,0.49822205,0.00389356,1.8276489,4.2114086
31,F55,54.02579,-20.96981,2021-01-27T01:46:07,11333.36474,0.075579,0.005676,-0.41805,0.004028,0.788,R,ok,0.976208,0.49315014,0.14722508,655.0,0.4613018,4.7527742,70.10385,-39.87611,0.37973815828994445,0.424827,0.0040903473,2.0441163,4.0364876
32,F10,71.42771,17.19769,2021-01-27T02:32:09,19357.35251,0.083346,0.002791,-0.069988,0.004371,1.603,R,ok,0.9078226,0.29057422,0.14806081,655.0,0.8248278,5.7623506,35.29063,-20.010567,0.9997722328251526,0.10883417,0.003531186,2.177349,3.87747
33,F11,82.95929,12.62319,2021-01-27T02:53:07,11210.5674,0.034603,0.002934,-0.065743,0.003695,0.813,R,clouds,0.8883824,0.19020809,0.14843842,655.0,0.7067031,5.84976,27.291433,-31.120245,1.2011272448524053,0.074293405,0.003543821,2.2305727,3.7924163
34,F17,133.152,24.72839,2021-01-27T03:39:10,28517.26367,0.045943,0.002744,0.01338,0.003995,0.82,R,ok,0.8745622,6.2437162,0.14926097,655.0,0.9398638,0.44400248,22.049465,8.118584,2.3418217799954246,0.047851685,0.0028615843,2.3252554,3.5744252
35,9090-7,138.001,-7.84645,2021-01-27T04:23:28,12668.99876,-0.020421,0.001679,0.171256,0.003153,0.855,R,ok,0.89962566,6.025486,0.1500431,655.0,0.39649776,0.79293305,43.617058,-41.600006,0.2837854183127444,0.17246923,0.0031371256,2.379145,3.3271468
36,F64,156.588,-0.12736,2021-01-27T05:10:25,13228.95137,0.115313,0.001714,0.224762,0.004693,0.725,R,ok,0.9638616,5.8143983,0.15086192,655.0,0.5758099,0.798418,52.259,31.420069,0.29820963827545205,0.2526164,0.004248202,2.387572,3.0443294
37,F23,173.413,13.44331,2021-01-27T06:03:37,16459.12801,0.262048,0.00219,0.235072,0.005891,0.743,R,ok,1.0744957,5.611584,0.1517767,655.0,0.8010614,0.6478774,60.763,20.946959,0.3761763281771295,0.3520341,0.004258148,2.3351684,2.739575
38,CT2,194.38792,-2.38783,2021-01-27T07:02:07,13387.96687,0.349048,0.003856,0.409608,0.006721,1.745,R,ok,1.229599,5.432989,0.15276606,655.0,0.67297125,1.049413,85.87207,24.78199,0.27974924798876416,0.5381572,0.005694201,2.2151892,2.46269
39,F74,235.731,-34.111,2021-01-27T07:55:24,13171.15791,0.217974,0.002499,0.030014,0.005029,0.618,R,ok,1.3914318,5.3035865,0.15365154,655.0,0.9260293,2.0135412,132.10913,3.9200299,0.6501696567948481,0.2200307,0.002568928,2.0668912,2.2682595
40,F65,166.391,-77.77269,2021-01-27T08:35:52,3796.848702,0.151747,0.002688,0.459012,0.004739,0.685,R,ok,1.5232645,5.221615,0.15431371,655.0,0.94218886,3.2255774,107.78019,35.85319,0.17504787549123307,0.4834451,0.0045779156,1.9380037,2.1502848
41,1101-264,166.20418,-27.00247,2021-01-27T09:13:25,1481.605924,-0.001785,0.001755,0.235585,0.003446,0.818,R,sun,1.6505514,5.155328,0.15492,655.0,0.44652474,4.5073853,74.254845,-44.782944,0.21342497963755339,0.23559177,0.0034459268,1.8097942,2.0580738
42,F60,89.47221,-13.62131,2021-01-26T01:11:17,7053.652275,-0.088142,0.002561,-0.005842,0.003703,1.045,I,clouds,0.9414347,0.4120879,0.13163632,768.0,0.3357881,1.0154753,39.18623,1.8959922,1.1995423369405571,0.08833539,0.0025671013,1.9300917,4.1313953
43,F9,66.66121,24.65011,2021-01-26T02:13:27,29388.34457,0.045867,0.003079,-0.017683,0.003828,1.97,I,clouds,0.8785498,0.1182057,0.13309292,768.0,0.9348808,5.8549514,24.738655,-10.541517,2.1793154524689498,0.049157605,0.003185854,2.1230037,3.942026
44,F58,75.41671,-48.90769,2021-01-27T00:36:55,4451.489996,-0.076955,0.003179,-0.32354,0.003748,0.948,I,sun,1.1317513,0.7421067,0.16326761,768.0,0.44585633,2.8676298,79.75088,38.310314,0.2766898324094522,0.33256608,0.0037197392,1.8146842,4.2199516
45,F55,54.02579,-20.96981,2021-01-27T01:54:44,7466.643281,0.030217,0.00282,-0.258403,0.00376,0.793,I,ok,0.96094805,0.4573773,0.16485159,768.0,0.4955555,4.734982,70.14414,-41.665134,0.3121486290292126,0.26016375,0.0037488881,2.070502,4.0093455
46,F10,71.42771,17.19769,2021-01-27T02:38:26,10719.21201,0.059852,0.002643,-0.058661,0.004082,1.608,I,ok,0.90117395,0.26093465,0.1657287,768.0,0.8375994,5.731295,35.324245,-22.212112,1.1802718406765562,0.083805576,0.003424448,2.1938627,3.8528755
47,F11,82.95929,12.62319,2021-01-26T03:01:48,5867.126423,0.025901,0.002972,-0.064564,0.004243,0.865,I,clouds,0.8795621,6.1587224,0.1342254,768.0,0.71488357,5.821308,16.666014,-34.070465,1.3090168041065817,0.069565594,0.004090454,2.24768,3.7505622
48,F17,133.152,24.72839,2021-01-27T03:45:32,15302.09626,0.041577,0.003197,0.008299,0.004008,0.905,I,ok,0.8758727,6.211761,0.1670572,768.0,0.929314,0.41538882,22.016043,5.6440997,2.6892781315832717,0.042397175,0.0032318258,2.33548,3.5409286
49,9090-7,138.001,-7.84645,2021-01-27T04:30:36,7120.252446,-0.008174,0.003054,0.127448,0.003717,0.808,I,ok,0.9070319,5.9917393,0.16793655,768.0,0.3769206,0.7294753,43.585934,-43.165154,0.6857487019716887,0.12770985,0.0037145254,2.3837974,3.2848253
50,F64,156.588,-0.12736,2021-01-27T05:18:02,7675.876561,0.087834,0.003299,0.147273,0.004176,0.73,I,ok,0.97748226,5.7828774,0.16885044,768.0,0.5546222,0.7503826,52.215733,29.59402,0.5931057705186821,0.17147638,0.003964717,2.3839762,2.9986577
51,F23,173.413,13.44331,2021-01-27T06:12:20,9453.356664,0.189766,0.003522,0.147416,0.004161,0.768,I,ok,1.0956968,5.5821724,0.16988145,768.0,0.7807447,0.6041936,60.71028,18.920574,0.4688532658152128,0.24029693,0.0037752027,2.3209429,2.693938
52,CT2,194.38792,-2.38783,2021-01-27T07:12:03,8064.176012,0.02461,0.004058,0.245572,0.004151,1.93,I,ok,1.2585275,5.4067173,0.17099592,768.0,0.6391572,1.0047468,85.80369,42.138603,0.4711464966187669,0.24680206,0.0041500856,2.1898637,2.4225364
53,F74,235.731,-34.111,2021-01-27T08:03:26,8445.207815,0.150816,0.003144,0.007876,0.004105,0.638,I,ok,1.4170812,5.2863197,0.17193803,768.0,0.8971307,2.0094552,132.04784,1.4947088,0.7782563837917741,0.15102151,0.0031470116,2.0422325,2.2430441
54,F65,166.391,-77.77269,2021-01-27T08:41:25,3296.341596,0.097194,0.00371,0.249015,0.004038,0.68,I,ok,1.5418111,5.2112775,0.17262411,768.0,0.9441049,3.2314136,107.76046,34.339306,0.4024265466543331,0.26731095,0.003996182,1.9195095,2.1357214
55,1101-264,166.20418,-27.00247,2021-01-27T09:19:23,2652.313057,-0.009898,0.003279,0.197499,0.00394,0.828,I,sun,1.6711328,5.1455264,0.17330088,768.0,0.46975663,4.506328,74.20742,-43.565464,0.47529773624066246,0.19774687,0.0039384826,1.7888213,2.0446658
56,ORIG-CT1,151.112395,-2.31674,2017-03-12T01:05:50,68495.788,0.009959,0.001854,-0.022843,0.002313,0.89,B,ok,1.0332619,1.116881,0.12779002,437.0,0.7108736,1.0908967,18.505674,-33.221977,2.224080830814298,0.024919556,0.0022459934,2.0694563,4.3845587
57,ORIG-CT2,151.112396,-2.31674,2017-03-12T01:41:48,65284.8055,0.01355,0.002374,-0.035962,0.002683,1.22,V,ok,0.91040945,1.0078629,0.15090229,555.0,0.5897148,0.9246378,18.64878,-34.67713,1.7999532710631432,0.03843004,0.00264655,2.2022257,4.285844
58,ORIG-CT3,151.112397,-2.31674,2017-03-12T02:03:41,67646.88685,0.008805,0.002508,-0.029549,0.003346,1.06,R,ok,0.83970666,0.92958146,0.16950989,655.0,0.52373177,0.7932833,18.730225,-36.703506,2.403225351523174,0.03083296,0.0032856744,2.2800212,4.2154517
59,ORIG-CT4,151.112398,-2.31674,2017-03-12T02:26:17,61893.01025,0.004283,0.002849,-0.022303,0.003926,0.94,I,ok,0.77107,0.8366314,0.18947273,768.0,0.46505073,0.62535703,18.810371,-39.564716,3.6508339224902984,0.022710524,0.0038928085,2.3570683,4.1317496
